,SOLICITA,FOLIO,FECHA DOCTO,MATERIA,FIRMA,OBSERVACIONES,LINK AL DOCUMENTO,ESTADO
,psp,00111,12-09-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “CONSERVACIÓN ESCUELA ESPECIAL LAS ACACIAS, CHILLÁN”, Código BIP 40052872-0.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/18APtEEmUXTXemnKYX19lnM7GpWQTEgvF?usp=drive_link,TOMADA DE RAZON
,psp,00110,12-09-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “CONSERVACIÓN JARDIN INFANTIL Y SALA CUNA ESTRELLITAS DE LUZ, CHILLÁN”, Código BIP 40052836-0.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1fiHIdWZ1JF66N6R2k-XwjX8U2LJGFLRW?usp=drive_link,TOMADA DE RAZON
,nlg,00109,10-09-2024,"APRUEBA BASES ADMINISTRATIVAS GENERALES, ESPECIFICACIONES TÉCNICAS Y ANEXOS, AUTORIZA EL LLAMADO AL PROCESO DE LICITACIÓN PÚBLICA, DESIGNA COMISIÓN DE APERTURA Y EVALUACIÓN DEL PROYECTO ""REPOSICIÓN CUARTEL DE BOMBEROS 5° COMPAÑÍA DE CHILLÁN”, CÓDIGO BIP 40013760-0",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/14kKonxClGycduqhPvA8IVosK8eEeLz_1?usp=drive_link,REPRESENTADA
,psp,00108,10-09-2024,APRUEBA CONVENIO DE TRANSFERENCIA DEL PROGRAMA DENOMINADO “TRANSFERENCIA CERTIFICACIÓN Y SELLO DE CALIDAD PARA VINOS DE LA REGIÓN DE ÑUBLE” Código BIP 40053301-0,OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1faLbls0ub3PnfvamMLcA79WmnyVJtlRJ?usp=drive_link,TOMADA DE RAZON
,psp,00107,10-09-2024,APRUEBA CONVENIO DE TRANSFERENCIA DEL PROGRAMA DENOMINADO “TRANSFERENCIA PREVENCIÓN Y DETECCIÓN PRECOZ DE CÁNCER COLORRECTAL PARA LA REGIÓN DE ÑUBLE” Código BIP 40058702-0,OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1prHDWCYebHuNyvIeSnfv7lInEeiNwIWo?usp=drive_link,CON ALCANCE
,psp,00106,10-09-2024,APRUEBA CONVENIO DE TRANSFERENCIA DEL PROGRAMA DENOMINADO “TRANSFERENCIA GESTIÓN COLABORATIVA EN SALUD PÚBLICA (POLO DE SALUD) PARA LA REGIÓN DE ÑUBLE” Código BIP 40057788-0,OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1hZFGTnGZOLvMikrZwJLtryRXymwTWd1S?usp=drive_link,TOMADA DE RAZON
,ahm,00105,10-09-2024,MODIFÍCASE EL PRESUPUESTO DE INVERSIÓN DEL GOBIERNO REGIONAL DE ÑUBLE,OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1w_SUJGhrkRIKUB7BdUfLAM5lBpqeQJXc?usp=drive_link,TOMADA DE RAZON
,ahm,00104,10-09-2024,"CRÉESE Y MODIFÍQUESE ASIGNACIONES IDENTIFICATORIAS DE INICIATIVAS DE INVERSIÓN DE ESTUDIOS BÁSICOS DEL PROGRAMA DE INVERSIÓN REGIONAL REGIÓN XVI”, SUBTÍTULO 31, INICIATIVAS DE INVERSIÓN DE LA REGIÓN DE ÑUBLE AÑO 2024.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1_ZxNF_Gejhwipc_URzS8E1lQvl8ij2Je?usp=drive_link,TOMADA DE RAZON
,MQV,00103,05-09-2024,"APRUEBA CONVENIO DE TRANSFERENCIA PARA LA EJECUCIÓN DEL PROGRAMA “TRANSFERENCIA PARA EL FOMENTO AL RIEGO, REGIÓN DE ÑUBLE”, CÓDIGO BIP 40048507-0.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1bIxiA8NyjOBb7uMu3MBOlduKSryX18pg?usp=drive_link,TOMADA DE RAZON
,psp ,00102,05-09-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “CONSERVACIÓN LICEO POLIVALENTE LUIS CRUZ MARTÍNEZ, QUILLÓN”, Código BIP 40034891-0.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1LqMo-kEr9CdfN59KkYBtam_m17ErPW5K?usp=drive_link,TOMADA DE RAZON
,psp,00101,03-09-2024,"APRUEBA CONVENIO MANDATO PARA LA EJECUCIÓN DEL PROYECTO “ADQUISICIÓN TERRENO EN SECTOR VILLA FERROCAR, CHILLÁN”, código BIP 40053769.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1y0nvCiDbN7r88WD8q1pyB95ee0UN8TTx?usp=drive_link,REPRESENTADA
,psp,00100,30-08-2024,"APRUEBA MODIFICACIÓN DE CONVENIO MANDATO DEL PROYECTO “CONSTRUCCIÓN INSTITUTO REHABILITACIÓN INFANTIL TELETÓN ÑUBLE”, CÓDIGO BIP 40045992-0.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1OxfWYpaEfpnX-nT8mWevNPc43dokj6lp?usp=drive_link,TOMADA DE RAZON
,psp ,00099,28-08-2024,"CRÉESE Y MODIFÍQUESE ASIGNACIONES IDENTIFICATORIAS DE INICIATIVAS DE INVERSIÓN DE ESTUDIOS BÁSICOS DEL PROGRAMA DE INVERSIÓN REGIONAL REGIÓN XVI”, SUBTÍTULO 31, INICIATIVAS DE INVERSIÓN DE LA REGIÓN DE ÑUBLE AÑO 2024.",OSCAR CRISOSTOMO LLANOS,DOC DIGITAL ,https://drive.google.com/drive/folders/1NTIv5TcsktSRTQF8wHezcGDFpmHVQXW9?usp=drive_link,TOMADA DE RAZON
