legacy_codigo,agreement_number,agreement_id,renderer_org_id,renderer_name,status,confidence,notes,document_count,sample_document_code,sample_source,sample_institucion,auto_candidate_count
2401D0055,,,,COFRADIA NAUTICA HERMANDAD DE LA COSTA NAO DEL SOL DE QUILLON,pending,,,1,REN24-2401D0055,RENDICIONES 2024.csv,COFRADIA NAUTICA HERMANDAD DE LA COSTA NAO DEL SOL DE QUILLON,0
2401D0056,,,,CLUB DEPORTIVO HERNAN BRAÑAS,pending,,,1,REN24-2401D0056,RENDICIONES 2024.csv,CLUB DEPORTIVO HERNAN BRAÑAS,0
2401D0057,,,,CLUB DEPORTIVO MUNICIPAL,pending,,,1,REN24-2401D0057,RENDICIONES 2024.csv,CLUB DEPORTIVO MUNICIPAL,0
2401D0058,,,,CLUB DEPORTIVO DRAGONES BLANCOS KIDS,pending,,,1,REN24-2401D0058,RENDICIONES 2024.csv,CLUB DEPORTIVO DRAGONES BLANCOS KIDS,0
2401D0059,,,,ESCUELA DE TAEKWONDO HWARANG,pending,,,1,REN24-2401D0059,RENDICIONES 2024.csv,ESCUELA DE TAEKWONDO HWARANG,0
2401D0061,,,,PANTERAS FUTBOL CLUB,pending,,,1,REN24-2401D0061,RENDICIONES 2024.csv,PANTERAS FUTBOL CLUB,0
2401D0063,,,,CLUB DEPORTIVO LIBERTADOR BERNARDO O´HIGGINS,pending,,,1,REN24-2401D0063,RENDICIONES 2024.csv,CLUB DEPORTIVO LIBERTADOR BERNARDO O´HIGGINS,0
2401D0064,,,,CLUB DEPORTIVO TAEKWONDO FELIX BULNES,pending,,,1,REN24-2401D0064,RENDICIONES 2024.csv,CLUB DEPORTIVO TAEKWONDO FELIX BULNES,0
2401D0066,,,,ONG ÑUBLE CRECE,pending,,,1,REN24-2401D0066,RENDICIONES 2024.csv,ONG ÑUBLE CRECE,0
2401D0067,,,,CLUB DEPORTES LA VIÑITA,pending,,,1,REN24-2401D0067,RENDICIONES 2024.csv,CLUB DEPORTES LA VIÑITA,0
2401D0071,,,,CLUB DEPORTIVO CATOLICA DE PEMUCO,pending,,,1,REN24-2401D0071,RENDICIONES 2024.csv,CLUB DEPORTIVO CATOLICA DE PEMUCO,0
2401D0072,,,,ASOCIACION DE RAYUELA SAN IGNACIO,pending,,,1,REN24-2401D0072,RENDICIONES 2024.csv,ASOCIACION DE RAYUELA SAN IGNACIO,0
2401D0073,,,,"AGRUPACION SOCIAL, CULTURAL, DEDUCATIVA Y DEPORTIVA SIPALKI-DO CHILE",pending,,,1,REN24-2401D0073,RENDICIONES 2024.csv,"AGRUPACION SOCIAL, CULTURAL, DEDUCATIVA Y DEPORTIVA SIPALKI-DO CHILE",0
2401D0074,,,,JUNTA DE VECINOS HUENUTIL CENTRO,pending,,,2,REN24-2401D0074,RENDICIONES 2024.csv,JUNTA DE VECINOS HUENUTIL CENTRO,0
2401D0076,,,,TEAM CICLISMO CAYUMANQUI,pending,,,1,REN24-2401D0076,RENDICIONES 2024.csv,TEAM CICLISMO CAYUMANQUI,0
2401D0077,,,,CLUB DEPORTIVO FEMENINO LAS AGUILAS DE PINTO,pending,,,1,REN24-2401D0077,RENDICIONES 2024.csv,CLUB DEPORTIVO FEMENINO LAS AGUILAS DE PINTO,0
2401D0080,,,,CENTRO GENERAL DE PADRES LICEO C-91 DE NINHUE,pending,,,1,REN24-2401D0080,RENDICIONES 2024.csv,CENTRO GENERAL DE PADRES LICEO C-91 DE NINHUE,0
2401D0083,,,,CLUB DEPORTIVO SAN EDUARDO,pending,,,1,REN24-2401D0083,RENDICIONES 2024.csv,CLUB DEPORTIVO SAN EDUARDO,0
