source_domain,source_id,source_code,target_domain,target_id,target_code,match_type,confidence
IDIS,f626f73e-550c-413a-af68-cdbe6c3952c1,40031124-2021,IDIS_BIP,28f2ef74-a991-4f77-bd1d-090bdaa4b61c,40031124,NORMALIZED,0.9
IDIS,f626f73e-550c-413a-af68-cdbe6c3952c1,40031124-2021,IDIS_BIP,f87b2b3d-4b44-4941-bc1b-5008675b922d,40031124,NORMALIZED,0.9
IDIS,b0769b77-7ed3-475b-b496-16a7e33dd44e,40031124-2022,IDIS_BIP,f626f73e-550c-413a-af68-cdbe6c3952c1,40031124,NORMALIZED,0.9
IDIS,b0769b77-7ed3-475b-b496-16a7e33dd44e,40031124-2022,IDIS_BIP,b0769b77-7ed3-475b-b496-16a7e33dd44e,40031124,NORMALIZED,0.9
IDIS,b0769b77-7ed3-475b-b496-16a7e33dd44e,40031124-2022,IDIS_BIP,28f2ef74-a991-4f77-bd1d-090bdaa4b61c,40031124,NORMALIZED,0.9
IDIS,b0769b77-7ed3-475b-b496-16a7e33dd44e,40031124-2022,IDIS_BIP,f87b2b3d-4b44-4941-bc1b-5008675b922d,40031124,NORMALIZED,0.9
IDIS,28f2ef74-a991-4f77-bd1d-090bdaa4b61c,40031124-2023,IDIS_BIP,f626f73e-550c-413a-af68-cdbe6c3952c1,40031124,NORMALIZED,0.9
IDIS,28f2ef74-a991-4f77-bd1d-090bdaa4b61c,40031124-2023,IDIS_BIP,b0769b77-7ed3-475b-b496-16a7e33dd44e,40031124,NORMALIZED,0.9
IDIS,28f2ef74-a991-4f77-bd1d-090bdaa4b61c,40031124-2023,IDIS_BIP,28f2ef74-a991-4f77-bd1d-090bdaa4b61c,40031124,NORMALIZED,0.9
IDIS,28f2ef74-a991-4f77-bd1d-090bdaa4b61c,40031124-2023,IDIS_BIP,f87b2b3d-4b44-4941-bc1b-5008675b922d,40031124,NORMALIZED,0.9
IDIS,f87b2b3d-4b44-4941-bc1b-5008675b922d,40031124-2024,IDIS_BIP,f626f73e-550c-413a-af68-cdbe6c3952c1,40031124,NORMALIZED,0.9
IDIS,f87b2b3d-4b44-4941-bc1b-5008675b922d,40031124-2024,IDIS_BIP,b0769b77-7ed3-475b-b496-16a7e33dd44e,40031124,NORMALIZED,0.9
IDIS,f87b2b3d-4b44-4941-bc1b-5008675b922d,40031124-2024,IDIS_BIP,28f2ef74-a991-4f77-bd1d-090bdaa4b61c,40031124,NORMALIZED,0.9
