SUBVENCIONES 2024,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CORRELATIVO,TIPO DOCUMENTO,CÓDIGO,FECHA DCTO,FECHA INGRESO,FECHA ENTREGA ,NOMBRE INSTITUCIÓN ,NOMBRE DE LA INICIATIVA,MONTO DE LA RENDICIÓN,RECEPCIONADO POR,FIRMA
83,REND.,2301D0276,29-abr-24,29-abr-24,30-abr-24,CLUB PATINAJE ARTISTICO SOCIAL CULTURAL Y DEPORTIVO AYUWN,PATINA Y VIVE SANO… AYUWN PROMOVIENDO EL DEPORTE EN LOS ESTUDIANTES DE LA REGION DE ÑUBLE,"$2,999,640.00",FERNANDO RIQUELME ,
84,REND.,2301SP0168,29-abr-24,29-abr-24,30-abr-24,COMITÉ DE ADELANTO Y DESARROLLO LOS ALTOS AMANECER DE PORTEZUELO,DISUADIENDO LOS DELITOS DE NUESTRA COMUNIDAD ,"$3,791,750.00",FERNANDO RIQUELME ,
85,SUBS.,2301S0147,S/F,29-abr-24,30-abr-24,MESA INTERSECTORIAL DE PERSONAS MAYORES DE BULNES,APOYO SOCIO SANITARIO A PERSONAS MAYORES VULNERABLES DE LA COMUNA DE BULNES,,FERNANDO RIQUELME ,
86,REND.,2301D0155,29-abr-24,29-abr-24,30-abr-24,CLUB DEPORTIVO SOCIAL Y CULTURAL TAEKWONDO KIMS ÑUBLE,FORMACION Y CRECIMIENTO INTEGRAL DE DEPORTISTAS POR MEDIO DE LA ESCUELA DEPORTIVA DE TAEKWONDO,"$2,278,000.00",FERNANDO RIQUELME ,
87,REND.,2301SP0047,29-abr-24,30-abr-24,2-may-24,JJVV SAN MIGUEL DE ARCÁNGEL,IMPLEMENTACION DE CAMARAS DE VIGILANCIA EN VILLA SAN MIGUEL DE ARCÁNGEL,"$4,499,990.00",JUAN PARADA,
88,REND.,2301C0170,30-abr-24,30-abr-24,2-may-24,"JJVV N3 SAN MIGUEL, COMUNA DE SAN IGNACIO",TALLER DE GUITARRA CON RAICES FOLCLORICAS DE CHILE,"$2,249,630.00",JUAN PARADA,
89,REND.,2301SP0378,29-abr-24,30-abr-24,2-may-24,JJVV TOQUIHUA,TOQUIHUA VIGILADO,"$4,481,814.00",JUAN PARADA,
90,REND.,2301SP0158,29-abr-24,30-abr-24,2-may-24,JJVV LA UNION DEL SUR,CONTROL DE INCENDIOS EN LA UNION NINQUIHUE,"$4,500,000.00",JUAN PARADA,
91,REND.,2301SP0258,25-abr-24,29-abr-24,2-may-24,JJVV PURALIHUE,PURALIHUE CON ENERGIA SUSTENTABLE TODO EL AÑO,"$3,749,300.00",JUAN PARADA,
92,REND.,2301EG0083,26-abr-24,29-abr-24,2-may-24,CENTRO DE MADRES LAS VIOLETAS DE  DENECAN,CONFECCIONANDO SUEÑOS,"$3,000,000.00",JUAN PARADA,
93,REND.,2301D0118,26-abr-24,29-abr-24,2-may-24,CLUB DEPORTIVO BOCA ITATA AZUL,CUADRANGULAR DE FUTBOL AZUL,"$1,727,780.00",JUAN PARADA,
94,REND.,2301EG0110,S/F,29-abr-24,2-may-24,UNION COMUNAL MUJERES LAUTARO,AUTONOMIA FINANCIERA,"$3,002,950.00",JUAN PARADA,
95,REND.,2301M0031,26-abr-24,29-abr-24,2-may-24,CENTRO GENERAL DE PADRES Y APODERADOS ESCUELA ESPECIAL DE LENGUAJE,CRECIENDO CON CONCIENCIA VERDE LIMPIA,"$1,804,893.00",JUAN PARADA,
96,REND.,2301S0069,17-abr-24,29-abr-24,2-may-24,JJVV EL AROMO,DULCES TRADICIONES EL AROMO,"$3,000,401.00",JUAN PARADA,
97,REND.,2301AM124,24-abr-24,29-abr-24,2-may-24,CAM LA RIBERA DEL ITATA ,EDUCACION NUTRICIONAL PARA CAM LA RIBERA DEL ITATA,"$1,882,200.00",JUAN PARADA,
98,REND.,2301AM0020,25-abr-24,29-abr-24,2-may-24,LA ALEGRIA DE VIVIR EN CAÑA DULCE,LA ALEGRIA DE EJERCITARNOS EN CAÑA DULCE,"$1,760,992.00",JUAN PARADA,
99,REND.,2301D0246,29-abr-24,29-abr-24,2-may-24,CLUB DE RAYUELA SAN IGNACIO,SEGUNDO TORNEO DE RAYUELA VERANIEGO,"$1,636,000.00",JUAN PARADA,
100,REND.,2301D0101,S/F,29-abr-24,2-may-24,CLUB DEPORTIVO EL SAUCE,PARTICIPANDO POR EL CAMPEONATO DE FUTBOL DEL ALFUR,,JUAN PARADA,
101,REND.,2301EG003,S/F,29-abr-24,2-may-24,COMITÉ CAMPESINO SAN PEDRO EL PILME,PILME LUCHA POR LA EQUIDAD DE GÉNERO,"$2,387,950.00",JUAN PARADA,
102,REND.,2301D0045,29-abr-24,29-abr-24,2-may-24,CLUB DEPORTIVO LOS MAYOS,IMPLEMENTANDO AL CLUB DEPORTIVO ,"$1,800,000.00",JUAN PARADA,
103,REND.,2301SP0292,24-abr-24,29-abr-24,2-may-24,UNION COMUNAL DE JUNTAS DE VECINOS RURAL - SECTOR SUR QUILLON,"COMUNICANDONOS POR TU SEGURIDAD, A TRAVES DE UN SISTEMA DE RADIOCOMUNICACION UNION COMUNAL","$4,495,003.00",JUAN PARADA,
104,REND.,2301AM0024,S/F,29-abr-24,2-may-24,CLUB ADULTO MAYOR MARIA DE LA MERCED,CANTOS Y DANZAS CON EL ADULTO MAYOR,"$1,962,894.00",JUAN PARADA,
