SEGUIMIENTO EJECUCIÓN ASIGNACIONES DIRECTAS ,,,,,,,,,,,,,,,,,,
N°,REFERENTE UCR,CÓDIGO,NOMBRE INICIATIVA,UNIDAD EJECUTORA,AÑO INICIO EJECUCIÓN,"ESTADO DE LA INICIATIVA (En Ejecución, ejecutada, terminada)",ESTADO DE LA RENDICIÓN,REFERENTE TÉCNICO,NUMERO Y FECHA DE LA RESOLUCIÓN QUE NOMBRA EL RF,DIVISIÓN,MONTO TRANSFERIDO,FECHA DE LA TRANSFERENCIA,MONTO RENDIDO,MONTO REINTEGRADO,TOTAL RENDIDO,SALDO,% RENDIDO A LA FECHA,OBSERVACIONES
36,MARCO BUSTAMANTE,CVC-AD-22-1,FIESTA DE LA CHILENIDAD DE BULNES CAPITAL DE DIGUILLIN,MUNICIPALIDAD DE BULNES,2024,TERMINADA,APROBADA,ALEJANDRO CARTES,78/17-09-2024,DIDESOH,$ 18.000.000,,$ -,$ -,$ -,"$18,000,000",50%,"Iniciativa cerrada técnica y financieramente
"
37,MARCO BUSTAMANTE,CVC-AD-21-1,SEGUNDA VERSIÓN FIESTA DEL PATRIMONIO DE LA CHILENIDAD QUIRIHUE 2024,MUNICIPALIDAD DE QUIRIHUE,2024,TERMINADA,APROBADA,YAMILET REYES,761/17-09-2024,DIDESOH,$ 18.000.000,,$ -,$ -,$ -,$ 18.000.000,"0,00%","Iniciativa cerrada técnica y financieramente
"
38,MARCO BUSTAMANTE,CVC-AD-20-1,CHILLAN VIEJO A LA CHILENA,MUNICIPALIDAD DE CHILLAN VIEJO,2024,TERMINADA,APROBADA,ALEJANDRO CARTES,749/13-09-2024,DIDESOH,$ 18.000.000,,$ 17.969.000,$31.00,$ -,"$18,000,000",50%,"Iniciativa cerrada técnica y financieramente
"
39,MARCO BUSTAMANTE,CVC-AD-12,ÑUBLEFEST 2024,MOVIMIENTO SOCIAL EN DEFENSA DEL RIO ÑUBLE,2024,TERMINADA,EN REVISIÓN UCR,ANDRÉS LAVANDEROS,920/15-10-2024,DIDESOH,$ 20.000.000,," $ 2,000,000.00 ","$20,000,000","$20,000,000","$20,000,000","0,00%",PASAR A COMISION
40,MARCO BUSTAMANTE,CVC-AD-18,ÑUBLE FESTIVAL PIANISSIMO MEDELLIN 2024,AMIGOS DEL ARTE CLAUDIO ARRAU LEON,2024,TERMINADA,APROBADA,ANDRÉS LAVANDEROS,880/08-10-2024,DIDESOH,$ 7.403.000,,$ -,$ -,$ -,"$7,403,000","0,00%",Iniciativa cerrada técnica y financieramente 27-02-2025
41,MARCO BUSTAMANTE,CVC-AD-16,"PRIMER CAMPEONATO REGIONAL DE FUTBOL FEMENINO, ÑUBLE 2024",LIGA DEPORTIVA RENACER FEMENINO,2024,TERMINADA,APROBADA,CÉSAR NAVARRETE,918/15-10-2024,DIDESOH,$ 14.145.000,,$ -,$ -,$ -,"$14,145,000","0,00%","Iniciativa cerrada técnica y financieramente
"
42,MARCO BUSTAMANTE,CVC-AD-14,FIESTAS PATRIAS EN COSTA RICA 2024,CONJUNTO FOLCLORICO PILLMAIKEN DE CHILLAN,2024,TERMINADA,APROBADA,ANDRÉS LAVANDEROS,884/09-10-2024,DIDESOH,$ 4.000.000,,,$ -,$ -,"$4,000,000","0,00%","Iniciativa cerrada técnica y financieramente
"
43,MARCO BUSTAMANTE,CVC-AD-13,IV CUMBRE MUNDIAL JUVENIL POR LA EDUCACION REGIÓN DE ÑUBLE 2024,FUNDACIÓN APTIVA,2024,TERMINADA,EN REVISIÓN UCR,ANDRÉS LAVANDEROS,789/25-09-2024,DIDESOH,$ 24.999.987,,$ -23.025.470,$ 1.974.517,$ 23.025.470,"$23,025,470","0,00%","Rendición con cierre técnico aprobado el  29-01-2025, Enviada a la UCR (Andres hacer seguimiento en la UCR)"
44,MARCO BUSTAMANTE,CVC-AD-08,SEXTA FECHA CAMPEONATO NACIONAL DE MOTOCROSS CHILEMX- ÑUBLE,CORP. DEPORTIVA CLUB PATAGONIA MOTOS,2024,TERMINADA,APROBADA,CÉSAR NAVARRETE,833/02-10-2024,DIDESOH,$ 30.000.000,,$ -,$ -,$ -,"$30,000,000","100,00%",Cerrada tecnica y financieramente
45,MARCO BUSTAMANTE,CVC-AD-06,"“ÑUBLE FOMENTA EL DEPORTE”,",STREER WORKOUT CHILLAN,2024,TERMINADA,EN REVISIÓN TÉCNICA,CÉSAR NAVARRETE,823/02-10-2024,DIDESOH,$ 49.900.000,,$ -,$ -,$ -,"$49,900,000","0,00%",Referente tecinico se encuentra revisando ultimas subsanaciones en plataforma SISREC para dar termino al cierre de la iniciativa 19112025
46,MARCO BUSTAMANTE,CVC-AD-17,CICLISMO PARA TODOS ÑUBLE 2024,AGRUPACION DE CICLISMO CHILLAN,2024,TERMINADA,APROBADA,CÉSAR NAVARRETE,837/07-10-2024,DIDESOH,$ 27.678.139,,$ -,$ -,$ -,"$27,678,000","0,00%","Iniciativa cerrada técnica y financieramente
"
47,MARCO BUSTAMANTE,CVC-AD-11,ÑUBLE PRESENTE EN COPA DE CAMPEONES DE TAKWONDO,CLUB DEPORTIVO DRAGONES BLANCOS KIDS,2024,TERMINADA,APROBADA,ANDRÉS LAVANDEROS,778/24-09-2024,DIDESOH,$ 3.300.000,,$ -,$ -,$ -,"$3,300,000","0,00%","Iniciativa cerrada técnica y financieramente
"
48,MARCO BUSTAMANTE,CVC-AD-10,APOYANDO A LA DEPORTISTA PARALIMOICA FLORENCIA PEREZ RUMBO A LOS JUEGOS PARALIMPICOSDE PARIS Y CIRCUITOS MUNDIALES ITTF 2024,CLUB DEPORTIVO PARALIMPICO DE CHILLAN,2024,TERMINADA,EN REVISIÓN UCR,ANDRÉS LAVANDEROS,674/28-08-2024,DIDESOH,$ 14.999.000,,$ -,$ -,$ -,"$14,999,000","0,00%",PASAR A COMISION
50,MARCO BUSTAMANTE,CVC-AD-07,JUNTOS AVANZAMOS EN LA INCLUSION,FUNDACION MITEA,2024,TERMINADA,APROBADA,ANDRÉS LAVANDEROS,751/13-09-2024,DIDESOH,$ 45.000.000,,$ -,$ -,$ -,"$45,000,000","0,00%","Iniciativa cerrada técnica y financieramente
"
51,MARCO BUSTAMANTE,CVC-AD-03,JUEGOS NACIONALES DE INVIERNO OLIMPIADAS ESPECIALES ÑUBLE 2024,FUNDACIÓN SPECIAL OLYMPICS DE CHILE,2024,TERMINADA,APROBADA,ANDRÉS LAVANDEROS,613/08-08-2024,DIDESOH,$ 34.984.000,,$ -,$ -,$ -,"$34,984,000","0,00%",Iniciativa cerrada técnica y financieramente
52,MARCO BUSTAMANTE,CVC-AD-02,ACERCANDO TU LICEO,CORP. EDUCACIONAL SOC. NACIONAL DE AGRIC. FG,2024,TERMINADA,APROBADA,ANDRÉS LAVANDEROS,787/25-09-2024,DIDESOH,$ 19.033.040,,$ -,$ -,$ -,"$19,033,000","0,00%",Iniciativa cerrada técnica y financieramente
53,MARCO BUSTAMANTE,CVC-AD-01,GIRAN SINFONICA ÑUBLE- BRASIL 2024,ORQUESTA DE SAN CARLOS,2024,TERMINADA,EN REVISIÓN UCR,ANDRÉS LAVANDEROS,450/28-06-2024,DIDESOH,$ 52.893.000,,$ -,$ -,$ -,"$52,893,000","0,00%","Rendicion con cierre técnico aprobado, Rendición financera terminda, organización debe reintegrar recursos. Paso a comisión (Andres hacer seguimiento en la UCR)"
55,,CVC-AD-15,"“NOS PREPARAMOS PARA EL CAMPEONATO NACIONAL ZONA SUR “CATEGORÍA SERIE DE HONOR”, SAN MARTÍN 2024",CLUB DEPORTIVO SAN MARTÍN,2024,TERMINADA,APROBADA,ANDRÉS LAVANDEROS,963/25-10-2024,DIDESOH,$5.883.700,,,,,,,"Iniciativa cerrada técnica y financieramente
"
56,MARCO BUSTAMANTE,CVC-AD-28,NACIONAL DE BASQUETBOL SENIORS CATEGORIA DAMAS WITRALEN,AGRUPACION DEPORTIVA Y CULTURAL DE BASQUETBOL SENIORS DAMAS WITRALEN,2024,TERMINADA,APROBADA,ANDRÉS LAVANDEROS,961/25-10-2024,DIDESOH,$ 1.459.760,,$ -,$ -,$ -,"$1,459,760","0,00%",Iniciativa cerrada técnica y financieramente
57,,CVC-AD-27,"“CORRIDA FAMILIAR INSAMACH”,","CLUB DEPORTIVO ESCOLAR INSAMACH,",2024,TERMINADA,EN REVISIÓN UCR,ANDRÉS LAVANDEROS,1016/08-11-2024,DIDESOH,$ 1.764.240,,,,,,,PASAR A COMISION
i,MARCO BUSTAMANTE,CVC-AD-31,Viajando por nuestros sueños,Centro de Padres y Apoderados de la Escuela Básica Valle Lonquén de Trehuaco,2024,TERMINADA,APROBADA,ANDRÉS LAVANDEROS,1226/30-12-2024,DIDESOH,$ 2.299.130,," $ 2,299,130.00 ",$0.00," $ 2,299,130.00 ", $ -   ,,Iniciativa cerrada técnica y financieramente (aprobada en comisión)
59,MARCO BUSTAMANTE,CVC-AD-25,RODEO DE PRIMERA CLUB PRAT DE NINHUE,CLUB SOCIAL CULTURAL Y DEPORTIVO DEL RODEO CHILENO ARTURO PRAT DE NINHUE,2024,TERMINADA,APROBADA,ANDRÉS LAVANDEROS,9314/18-10-2024,DIDESOH,$ 15.000.000,,"$14,650,002.00","$349,999","$14,650,002.00","$14,650,002.00",,Iniciativa cerrada técnica y financieramente
60,MARCO BUSTAMANTE,CVC-AD-19,SEGUNDO CAMPEONATO REGIONAL DE SELECCIONES ARFA ÑUBLE 2024,ASOC. REGIONAL DE FUTBOL AMATEUR DE LA 16 REGION DE ÑUBLE,2024,TERMINADA,APROBADA,CÉSAR NAVARRETE,919/15-10-2024,DIDESOH,$ 17.186.340,,$ -,$ -,$ -,"$17,186,000","0,00%",Iniciativa cerrada técnica y financieramente
61,,CVC-AD-21,6° FECHA CAMPEONATO NACIONAL DE MOUNTAIN BIKE SERIES NINHUE 2024 ,CLUB MOUNTAIN BIKE DE NINHUE ,2024,TERMINADA,EN REVISIÓN UCR,CÉSAR NAVARRETE,,,15.000.000,,1500001,"$144,000",15000001,0,100%,"Rendición con cierre técnico aprobado el  27-03-2025, enviada a la UCR. Pasar a comisión."
62,MARCO BUSTAMANTE,CVC-AD-33,DISFRUTA EL DEPORTE Y RESPETA A TU RIVAL.,,,TERMINADA,EN REVISIÓN UCR,ANDRÉS LAVANDEROS,,,$ 1.540.000,,1.400.000,"$140,000",1.400.000,,100%,PASAR A COMISION
,TOTAL,,,,,,,,,,,,$ 1.274.616.918,$ 1.761.484,$ 1.276.378.402,"$1,619,015,194","43,71%",
